Sample	BamSize	FastqSize
i1b1	1104329528	2900590545
i5b5	763779706	2675996825
i6b6	717894838	2633608481
i3b3	569054568	1747079896
i3b0	112934409	435824656
i5b0	57243607	221671111
i1b0	51675849	160060816
i6b0	31328593	123374646
i0b6	28452627	93373985
i0b1	26769091	67955649
i0b5	22597416	70111814
i0b3	13724335	39299603
i0b0	8323205	27199947
i1b5	2910075	8508245
i5b6	2895458	9841568
i3b5	2663753	7316857
i5b1	2146027	7123360
i6b1	1845777	4675245
i3b6	1182753	3073657
i1b6	1099518	2965107
i3b1	1042354	2426749
i6b5	903085	2682746
i6b3	287472	759066
i1b3	170305	340140
i5b3	141755	293862
