# A1 is the adapter in 3-prime, and A2 the one in 5-prime
Sample	Merged_A2	Merged_A1	Merged_Total	R1_A2	R1_A1	R2_A2	R2_A1	Paired_total
i5b5	1075	1795	4297255	0	0	0	0	0
i6b6	418	392	4262278	0	0	0	0	0
i1b1	513	749	3431444	0	0	0	0	0
i3b3	951	1244	2748371	0	0	0	0	0
i3b0	67	64	658064	0	0	0	0	0
i5b0	97	202	343049	0	0	0	0	0
i6b0	26	204	191021	0	0	0	0	0
i1b0	58	36	182113	0	0	0	0	0
i0b6	30	19	151594	0	0	0	0	0
i0b5	38	38	113545	0	0	0	0	0
i0b1	26	17	81061	0	0	0	0	0
i0b3	26	37	62076	0	0	0	0	0
i0b0	86	28	39622	0	0	0	0	0
i5b6	4	2	15947	0	0	0	0	0
i3b5	1	7	11940	0	0	0	0	0
i1b5	2	1	11226	0	0	0	0	0
i5b1	2	3	11121	0	0	0	0	0
i6b1	1	1	5573	0	0	0	0	0
i3b6	0	0	5041	0	0	0	0	0
i1b6	0	0	4866	0	0	0	0	0
i6b5	3	4	4369	0	0	0	0	0
i3b1	1	2	3145	0	0	0	0	0
i6b3	3	2	1194	0	0	0	0	0
i1b3	0	1	519	0	0	0	0	0
i5b3	0	0	469	0	0	0	0	0
