Sample	MinLength	Average\MaxLength	NumSeqs	Q20	Q30	MinQ	Average	MaxQ
i5b5	50	282.67	564	4297190	99.07	97.33	2	39.00	40
i6b6	53	280.25	566	4262265	99.39	98.12	2	39.26	40
i1b1	50	393.96	562	3431389	95.07	88.23	2	35.95	40
i3b3	50	289.14	560	2748342	98.33	95.17	2	38.36	40
i3b0	52	302.48	582	658002	99.45	98.35	2	39.17	40
i5b0	50	294.40	582	343037	99.51	98.53	2	39.27	40
i6b0	55	294.24	582	191017	99.58	98.69	2	39.33	40
i1b0	52	410.87	582	182066	97.10	92.81	2	36.97	40
i0b6	50	279.31	566	151593	98.63	96.20	2	38.72	40
i0b5	59	280.08	564	113545	98.17	95.17	2	38.40	40
i0b1	50	390.54	562	81052	93.78	86.05	2	35.43	40
i0b3	51	287.91	559	62071	97.64	93.45	2	37.91	40
i0b0	50	314.75	582	39603	97.60	94.71	2	38.10	40
i5b6	109	279.88	540	15947	98.92	96.92	8	38.93	40
i3b5	50	277.73	556	11940	96.88	92.00	7	37.61	40
i1b5	82	350.29	564	11225	96.98	92.34	2	37.17	40
i5b1	58	291.66	562	11118	97.77	94.91	7	38.31	40
i6b1	70	390.76	562	5573	94.19	86.56	7	35.57	40
i3b6	67	276.17	560	5041	96.61	91.12	8	37.40	40
i1b6	91	275.99	534	4866	97.29	92.69	8	37.79	40
i6b5	118	278.32	563	4369	98.08	94.70	7	38.30	40
i3b1	139	357.12	562	3145	90.95	81.14	2	34.48	40
i6b3	63	289.15	559	1194	97.46	93.22	7	37.86	40
i1b3	132	298.99	531	519	93.70	84.27	7	35.50	40
i5b3	124	284.62	538	469	94.82	87.14	8	36.35	40
