Sample	MappedOnce	Multiple	Unmapped	Total	Overall
i5b5	3650794 (84.96%)	618812 (14.40%)	27584 (0.64%)	4297190	99.36%
i6b6	3578193 (83.95%)	581585 (13.64%)	102487 (2.40%)	4262265	97.60%
i1b1	2787622 (81.24%)	496355 (14.47%)	147412 (4.30%)	3431389	95.70%
i3b3	2269789 (82.59%)	401719 (14.62%)	76834 (2.80%)	2748342	97.20%
i3b0	548379 (83.34%)	92532 (14.06%)	17091 (2.60%)	658002	97.40%
i5b0	292617 (85.30%)	48294 (14.08%)	2126 (0.62%)	343037	99.38%
i6b0	159999 (83.76%)	26140 (13.68%)	4878 (2.55%)	191017	97.45%
i1b0	148059 (81.32%)	25992 (14.28%)	8015 (4.40%)	182066	95.60%
i0b6	127584 (84.16%)	20408 (13.46%)	3601 (2.38%)	151593	97.62%
i0b5	96856 (85.30%)	15945 (14.04%)	744 (0.66%)	113545	99.34%
i0b1	66093 (81.54%)	11641 (14.36%)	3318 (4.09%)	81052	95.91%
i0b3	51137 (82.38%)	9097 (14.66%)	1837 (2.96%)	62071	97.04%
i0b0	33145 (83.69%)	5473 (13.82%)	985 (2.49%)	39603	97.51%
i5b6	13377 (83.88%)	2201 (13.80%)	369 (2.31%)	15947	97.69%
i3b5	10201 (85.44%)	1660 (13.90%)	79 (0.66%)	11940	99.34%
i1b5	9224 (82.17%)	1661 (14.80%)	340 (3.03%)	11225	96.97%
i5b1	9396 (84.51%)	1604 (14.43%)	118 (1.06%)	11118	98.94%
i6b1	4530 (81.28%)	811 (14.55%)	232 (4.16%)	5573	95.84%
i3b6	4277 (84.84%)	639 (12.68%)	125 (2.48%)	5041	97.52%
i1b6	4120 (84.67%)	633 (13.01%)	113 (2.32%)	4866	97.68%
i6b5	3685 (84.34%)	640 (14.65%)	44 (1.01%)	4369	98.99%
i3b1	2573 (81.81%)	460 (14.63%)	112 (3.56%)	3145	96.44%
i6b3	965 (80.82%)	191 (16.00%)	38 (3.18%)	1194	96.82%
i1b3	414 (79.77%)	85 (16.38%)	20 (3.85%)	519	96.15%
i5b3	373 (79.53%)	78 (16.63%)	18 (3.84%)	469	96.16%
