Sample	Assembled	Unassembled	Discarded	Total
i5b5	4297255 (0.99)	0 (0.00)	42554 (0.01)	4339809
i6b6	4262278 (1.00)	0 (0.00)	21338 (0.00)	4283616
i1b1	3431444 (0.91)	0 (0.00)	336860 (0.09)	3768304
i3b3	2748371 (0.97)	0 (0.00)	76928 (0.03)	2825299
i3b0	658064 (0.97)	0 (0.00)	19297 (0.03)	677361
i5b0	343049 (0.97)	0 (0.00)	11861 (0.03)	354910
i1b0	182113 (0.88)	0 (0.00)	25356 (0.12)	207469
i6b0	191021 (0.95)	0 (0.00)	9375 (0.05)	200396
i0b0	39622 (0.20)	0 (0.00)	153889 (0.80)	193511
i0b6	151594 (0.84)	0 (0.00)	29716 (0.16)	181310
i0b5	113545 (0.79)	0 (0.00)	29611 (0.21)	143156
i0b1	81061 (0.64)	0 (0.00)	46078 (0.36)	127139
i0b3	62076 (0.70)	0 (0.00)	26187 (0.30)	88263
i5b6	15947 (0.92)	0 (0.00)	1448 (0.08)	17395
i3b5	11940 (0.81)	0 (0.00)	2843 (0.19)	14783
i1b5	11226 (0.85)	0 (0.00)	1930 (0.15)	13156
i5b1	11121 (0.88)	0 (0.00)	1569 (0.12)	12690
i6b1	5573 (0.73)	0 (0.00)	2104 (0.27)	7677
i3b6	5041 (0.74)	0 (0.00)	1739 (0.26)	6780
i1b6	4866 (0.77)	0 (0.00)	1478 (0.23)	6344
i3b1	3145 (0.52)	0 (0.00)	2906 (0.48)	6051
i6b5	4369 (0.76)	0 (0.00)	1353 (0.24)	5722
i6b3	1194 (0.68)	0 (0.00)	564 (0.32)	1758
i1b3	519 (0.39)	0 (0.00)	824 (0.61)	1343
i5b3	469 (0.42)	0 (0.00)	650 (0.58)	1119
