Coverage	Frequency	Reads
1	3671	3671
2	1642	6955
3	887	9616
4	550	11816
5	457	14101
6	359	16255
7	302	18369
8	305	20809
9	206	22663
10	195	24613
11	184	26637
12	164	28605
13	178	30919
14	159	33145
15	149	35380
16	142	37652
17	119	39675
18	123	41889
19	90	43599
20	94	45479
21	119	47978
22	92	50002
23	91	52095
24	85	54135
25	80	56135
26	100	58735
27	76	60787
28	87	63223
29	86	65717
30	97	68627
31	69	70766
32	83	73422
33	67	75633
34	71	78047
35	71	80532
36	71	83088
37	76	85900
38	58	88104
39	66	90678
40	73	93598
41	52	95730
42	55	98040
43	50	100190
44	49	102346
45	58	104956
46	57	107578
47	46	109740
48	51	112188
49	54	114834
50	63	117984
51	62	121146
52	61	124318
53	64	127710
54	44	130086
55	50	132836
56	58	136084
57	55	139219
58	46	141887
59	36	144011
60	36	146171
61	49	149160
62	48	152136
63	45	154971
64	46	157915
65	41	160580
66	61	164606
67	48	167822
68	47	171018
69	47	174261
70	36	176781
71	40	179621
72	49	183149
73	44	186361
74	38	189173
75	42	192323
76	37	195135
77	51	199062
78	38	202026
79	36	204870
80	38	207910
81	24	209854
82	45	213544
83	33	216283
84	39	219559
85	49	223724
86	36	226820
87	41	230387
88	32	233203
89	38	236585
90	34	239645
91	32	242557
92	32	245501
93	37	248942
94	37	252420
95	38	256030
96	38	259678
97	36	263170
98	29	266012
99	27	268685
100	36	272285
101	41	276426
102	40	280506
103	32	283802
104	33	287234
105	32	290594
106	37	294516
107	33	298047
108	33	301611
109	30	304881
110	38	309061
111	39	313390
112	38	317646
113	49	323183
114	25	326033
115	34	329943
116	24	332727
117	36	336939
118	28	340243
119	29	343694
120	30	347294
121	28	350682
122	26	353854
123	32	357790
124	23	360642
125	23	363517
126	31	367423
127	34	371741
128	42	377117
129	35	381632
130	26	385012
131	25	388287
132	30	392247
133	26	395705
134	32	399993
135	27	403638
136	35	408398
137	29	412371
138	33	416925
139	26	420539
140	18	423059
141	28	427007
142	28	430983
143	37	436274
144	32	440882
145	24	444362
146	30	448742
147	35	453887
148	24	457439
149	21	460568
150	29	464918
151	34	470052
152	27	474156
153	26	478134
154	18	480906
155	18	483696
156	26	487752
157	30	492462
158	22	495938
159	28	500390
160	37	506310
161	29	510979
162	31	516001
163	27	520402
164	19	523518
165	30	528468
166	20	531788
167	17	534627
168	18	537651
169	17	540524
170	21	544094
171	25	548369
172	28	553185
173	28	558029
174	26	562553
175	21	566228
176	26	570804
177	31	576291
178	33	582165
179	27	586998
180	25	591498
181	36	598014
182	28	603110
183	26	607868
184	26	612652
185	20	616352
186	24	620816
187	22	624930
188	24	629442
189	12	631710
190	23	636080
191	34	642574
192	25	647374
193	24	652006
194	27	657244
195	25	662119
196	35	668979
197	20	672919
198	21	677077
199	22	681455
200	19	685255
201	13	687868
202	17	691302
203	20	695362
204	20	699442
205	11	701697
206	17	705199
207	29	711202
208	13	713906
209	20	718086
210	11	720396
211	16	723772
212	22	728436
213	26	733974
214	22	738682
215	29	744917
216	17	748589
217	25	754014
218	23	759028
219	18	762970
220	20	767370
221	13	770243
222	23	775349
223	18	779363
224	19	783619
225	16	787219
226	29	793773
227	28	800129
228	17	804005
229	17	807898
230	21	812728
231	20	817348
232	15	820828
233	10	823158
234	18	827370
235	16	831130
236	15	834670
237	16	838462
238	22	843698
239	21	848717
240	22	853997
241	24	859781
242	23	865347
243	18	869721
244	21	874845
245	21	879990
246	22	885402
247	16	889354
