OBS(HOM1/HET/HOM2)	E(HOM1/HET/HOM2)	ChiSq_HWE	P_HWE	P_HET_DEFICIT	P_HET_EXCESS
0/0/4	0.00/0.00/4.00	-nan	1.000000e+00	1.000000e+00	1.000000e+00	8316
3/1/0	3.06/0.88/0.06	8.163265e-02	1.000000e+00	1.000000e+00	1.000000e+00	2787
2/1/1	1.56/1.88/0.56	8.711111e-01	4.285714e-01	4.285714e-01	1.000000e+00	2464
1/1/2	0.56/1.88/1.56	8.711111e-01	4.285714e-01	4.285714e-01	1.000000e+00	2125
1/2/1	1.00/2.00/1.00	0.000000e+00	1.000000e+00	7.714286e-01	9.142857e-01	2034
0/1/3	0.06/0.88/3.06	8.163265e-02	1.000000e+00	1.000000e+00	1.000000e+00	1960
2/2/0	2.25/1.50/0.25	4.444444e-01	1.000000e+00	1.000000e+00	8.571429e-01	1803
3/0/1	2.25/1.50/0.25	4.000000e+00	1.428571e-01	1.428571e-01	1.000000e+00	1594
1/0/3	0.25/1.50/2.25	4.000000e+00	1.428571e-01	1.428571e-01	1.000000e+00	1386
0/2/2	0.25/1.50/2.25	4.444444e-01	1.000000e+00	1.000000e+00	8.571429e-01	1079
2/0/2	1.00/2.00/1.00	4.000000e+00	8.571429e-02	8.571429e-02	1.000000e+00	937
1/3/0	1.56/1.88/0.56	1.440000e+00	1.000000e+00	1.000000e+00	5.714286e-01	647
0/3/1	0.56/1.88/1.56	1.440000e+00	1.000000e+00	1.000000e+00	5.714286e-01	477
0/4/0	1.00/2.00/1.00	4.000000e+00	3.142857e-01	1.000000e+00	2.285714e-01	299
