sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	75529	83.77	75204	74474	82.6	71797	79.63
E10B	62500	49046	78.47	48695	47651	76.24	45225	72.36
E10C	92003	76186	82.81	75787	74550	81.03	71086	77.26
E11A	78819	57008	72.33	55350	51483	65.32	49393	62.67
E11B	87696	72138	82.26	71800	70619	80.53	64440	73.48
E11C	95594	75753	79.24	74890	72034	75.35	66833	69.91
E12A	66702	57176	85.72	56996	56338	84.46	51655	77.44
E12B	99901	86171	86.26	85955	84958	85.04	78120	78.2
E12C	146858	126435	86.09	126139	124754	84.95	114336	77.85
E14A	130829	107168	81.91	106544	105432	80.59	100154	76.55
E14B	84586	70165	82.95	69961	69466	82.12	66702	78.86
E14D	80001	63935	79.92	63316	62295	77.87	60617	75.77
E15A	55934	42109	75.28	41706	40112	71.71	36661	65.54
E15C	90660	69856	77.05	69362	66851	73.74	56337	62.14
E15D	91524	72932	79.69	72367	70438	76.96	58943	64.4
E17A	74993	53499	71.34	52553	48661	64.89	45253	60.34
E17B	39698	30119	75.87	29543	27920	70.33	26863	67.67
E17C	52394	38115	72.75	37368	35004	66.81	31747	60.59
E17D	18688	13176	70.51	12954	12340	66.03	11836	63.33
E19A	62548	48811	78.04	48396	47151	75.38	45223	72.3
E19B	96491	74520	77.23	73926	72236	74.86	68700	71.2
E19C	109705	81982	74.73	80651	77653	70.78	73719	67.2
E19D	46879	35041	74.75	34722	33524	71.51	31823	67.88
E20A	86810	71528	82.4	71202	70301	80.98	66916	77.08
E20B	107416	89950	83.74	89442	88185	82.1	83614	77.84
E20C	138402	116771	84.37	116409	115870	83.72	111374	80.47
E22A	101194	85313	84.31	85052	83628	82.64	79384	78.45
E22B	144055	121953	84.66	121679	118591	82.32	112205	77.89
E22D	78502	66047	84.13	65817	62800	80	59556	75.87
E23B	86891	68026	78.29	67749	66277	76.28	63000	72.5
E23C	93865	79062	84.23	78892	78027	83.13	75008	79.91
E23D	154959	130366	84.13	129982	128493	82.92	123392	79.63
E24A	135722	107661	79.32	106659	102602	75.6	94019	69.27
E24B	75745	53992	71.28	53623	52156	68.86	45018	59.43
E24C	86781	73068	84.2	72857	72256	83.26	65727	75.74
E6A	127636	103948	81.44	103199	101283	79.35	97233	76.18
E6B	69684	57029	81.84	56360	55063	79.02	53095	76.19
E6D	52666	38798	73.67	38451	36430	69.17	32536	61.78
L10A	77831	65266	83.86	65099	63838	82.02	58086	74.63
L10B	97025	82238	84.76	82051	80318	82.78	71950	74.16
L10C	147240	124173	84.33	123751	120555	81.88	105960	71.96
L10D	91473	76843	84.01	76581	74792	81.76	66502	72.7
L11A	90428	66976	74.07	66590	65218	72.12	60108	66.47
L11B	137382	116435	84.75	116206	114045	83.01	97581	71.03
L11C	137500	116147	84.47	115844	114048	82.94	101751	74
L11D	104055	87277	83.88	86924	85722	82.38	77604	74.58
L12A	144574	122337	84.62	122099	120710	83.49	109034	75.42
L12B	111882	94870	84.79	94707	93323	83.41	86599	77.4
L12C	128798	109221	84.8	108951	107402	83.39	99583	77.32
L12D	86194	72803	84.46	72555	71196	82.6	66363	76.99
L14A	117793	99564	84.52	99240	97908	83.12	92541	78.56
L14B	85586	72544	84.76	72260	70983	82.94	65799	76.88
L14C	113203	94860	83.8	94594	93056	82.2	87515	77.31
L14D	90326	76433	84.62	76284	75153	83.2	71529	79.19
L15A	102407	83341	81.38	83015	82248	80.31	78930	77.07
L15B	104089	82859	79.6	82604	81243	78.05	74730	71.79
L15C	146321	120698	82.49	120503	119640	81.77	115118	78.67
L17A	110582	92019	83.21	91818	90176	81.55	79552	71.94
L17B	109557	89807	81.97	89565	87694	80.04	77222	70.49
L17C	98384	81872	83.22	81703	80478	81.8	73979	75.19
L17D	117175	96637	82.47	96396	95045	81.11	87070	74.31
L19A	129456	107172	82.79	106999	104506	80.73	91845	70.95
L19B	90405	74469	82.37	74282	72760	80.48	65426	72.37
L19C	99903	83070	83.15	82826	81015	81.09	73334	73.41
L19D	119597	98835	82.64	98663	96434	80.63	87653	73.29
L20A	94262	78185	82.94	78052	76949	81.63	72456	76.87
L20B	120645	99551	82.52	99374	97669	80.96	91484	75.83
L20CD	97497	76439	78.4	76179	74590	76.5	69859	71.65
L22A	127934	108124	84.52	107875	106562	83.29	100226	78.34
L22B	71259	58158	81.61	58018	57275	80.38	53357	74.88
L22C	87257	70597	80.91	70418	68906	78.97	62431	71.55
L22D	93790	79060	84.29	78819	77785	82.94	72266	77.05
L23A	119613	101056	84.49	100893	99852	83.48	94714	79.18
L23D	98685	83671	84.79	83512	82424	83.52	77833	78.87
L24A	113095	95782	84.69	95628	94799	83.82	90555	80.07
L24B	86161	73152	84.9	72968	72327	83.94	69049	80.14
L6A	104665	86474	82.62	86251	84665	80.89	74829	71.49
L6B	83669	70621	84.41	70441	69140	82.64	61272	73.23
L6C	121031	100941	83.4	100739	99226	81.98	92330	76.29
L6D	88905	74410	83.7	74261	73036	82.15	69105	77.73
