sample	input	filtered	percent.pass	denoised	merged	percent.merged	non-chimeric	percent.non-chimeric	forward-trunc.	reverse-trunc.
E10A	90164	61801	68.54	61591	60775	67.4	58470	64.85	295	200
E10B	62500	40086	64.14	39874	39297	62.88	36814	58.9	295	200
E10C	92003	61929	67.31	61706	60615	65.88	58070	63.12	295	200
E11A	78819	45380	57.57	44288	42546	53.98	40470	51.35	295	200
E11B	87696	59129	67.42	58906	58023	66.16	53045	60.49	295	200
E11C	95594	61088	63.9	60549	59305	62.04	55011	57.55	295	200
E12A	66702	46796	70.16	46691	46166	69.21	42470	63.67	295	200
E12B	99901	71258	71.33	71137	70187	70.26	64166	64.23	295	200
E12C	146858	105553	71.87	105346	103642	70.57	94083	64.06	295	200
E14A	130829	87103	66.58	86730	85754	65.55	81977	62.66	295	200
E14B	84586	56281	66.54	56152	55894	66.08	53642	63.42	295	200
E14D	80001	50229	62.79	49861	49429	61.79	48073	60.09	295	200
E15A	55934	33528	59.94	33266	32892	58.81	30473	54.48	295	200
E15C	90660	55962	61.73	55629	54946	60.61	47309	52.18	295	200
E15D	91524	58243	63.64	57797	56798	62.06	48137	52.59	295	200
E17A	74993	42045	56.07	41347	40048	53.4	36643	48.86	295	200
E17B	39698	24205	60.97	23795	23418	58.99	22374	56.36	295	200
E17C	52394	29987	57.23	29425	28480	54.36	25881	49.4	295	200
E17D	18688	10527	56.33	10416	10324	55.24	9773	52.3	295	200
E19A	62548	39675	63.43	39398	38914	62.21	37313	59.65	295	200
E19B	96491	60728	62.94	60246	59188	61.34	55561	57.58	295	200
E19C	109705	65315	59.54	64533	63089	57.51	59482	54.22	295	200
E19D	46879	28358	60.49	28128	27693	59.07	26001	55.46	295	200
E20A	86810	57746	66.52	57534	56549	65.14	53970	62.17	295	200
E20B	107416	73355	68.29	73007	71896	66.93	68155	63.45	295	200
E20C	138402	95538	69.03	95396	94661	68.4	91181	65.88	295	200
E22A	101194	68444	67.64	68239	66871	66.08	63004	62.26	295	200
E22B	144055	98312	68.25	98120	96723	67.14	90570	62.87	295	200
E22D	78502	53386	68.01	53246	52735	67.18	49030	62.46	295	200
E23B	86891	54726	62.98	54530	53805	61.92	50937	58.62	295	200
E23C	93865	64407	68.62	64324	63510	67.66	60850	64.83	295	200
E23D	154959	106985	69.04	106747	105158	67.86	100737	65.01	295	200
E24A	135722	86107	63.44	85376	83464	61.5	76861	56.63	295	200
E24B	75745	42702	56.38	42391	41565	54.87	36464	48.14	295	200
E24C	86781	59171	68.18	59012	58028	66.87	53188	61.29	295	200
E6A	127636	84640	66.31	84116	83603	65.5	80215	62.85	295	200
E6B	69684	46139	66.21	45644	45229	64.91	43574	62.53	295	200
E6D	52666	30482	57.88	30245	29978	56.92	26745	50.78	295	200
L10A	77831	52877	67.94	52736	51618	66.32	47299	60.77	295	200
L10B	97025	66801	68.85	66664	65008	67	58426	60.22	295	200
L10C	147240	100787	68.45	100508	97846	66.45	86709	58.89	295	200
L10D	91473	62289	68.1	62161	60473	66.11	53997	59.03	295	200
L11A	90428	48735	53.89	48560	47651	52.69	44226	48.91	295	200
L11B	137382	96399	70.17	96274	94232	68.59	81453	59.29	295	200
L11C	137500	93908	68.3	93712	91915	66.85	82129	59.73	295	200
L11D	104055	71016	68.25	70784	69642	66.93	63669	61.19	295	200
L12A	144574	99002	68.48	98816	97296	67.3	87590	60.58	295	200
L12B	111882	76976	68.8	76872	75586	67.56	70700	63.19	295	200
L12C	128798	89110	69.19	88926	86964	67.52	80496	62.5	295	200
L12D	86194	58753	68.16	58630	57245	66.41	53646	62.24	295	200
L14A	117793	80578	68.41	80430	79105	67.16	74614	63.34	295	200
L14B	85586	59020	68.96	58887	57749	67.47	53759	62.81	295	200
L14C	113203	76114	67.24	75947	74438	65.76	70086	61.91	295	200
L14D	90326	61902	68.53	61817	60845	67.36	57907	64.11	295	200
L15A	102407	67523	65.94	67358	66768	65.2	64163	62.65	295	200
L15B	104089	66235	63.63	66004	65379	62.81	60176	57.81	295	200
L15C	146321	97116	66.37	96968	96196	65.74	92605	63.29	295	200
L17A	110582	73431	66.4	73269	71151	64.34	63420	57.35	295	200
L17B	109557	70303	64.17	70069	68241	62.29	60803	55.5	295	200
L17C	98384	65293	66.37	65125	63685	64.73	58689	59.65	295	200
L17D	117175	76047	64.9	75938	74222	63.34	68168	58.18	295	200
L19A	129456	85218	65.83	84980	82786	63.95	73687	56.92	295	200
L19B	90405	58659	64.88	58546	57268	63.35	51829	57.33	295	200
L19C	99903	66761	66.83	66544	64935	65	59177	59.23	295	200
L19D	119597	78499	65.64	78379	76468	63.94	69740	58.31	295	200
L20A	94262	61650	65.4	61546	60387	64.06	56956	60.42	295	200
L20B	120645	78961	65.45	78797	76939	63.77	72164	59.82	295	200
L20CD	97497	61470	63.05	61294	60476	62.03	56244	57.69	295	200
L22A	127934	87514	68.41	87390	85918	67.16	81021	63.33	295	200
L22B	71259	44408	62.32	44224	43493	61.04	40870	57.35	295	200
L22C	87257	54269	62.19	54130	53342	61.13	48635	55.74	295	200
L22D	93790	63866	68.09	63691	62508	66.65	58684	62.57	295	200
L23A	119613	81617	68.23	81491	80242	67.08	76202	63.71	295	200
L23D	98685	67097	67.99	66987	65607	66.48	62187	63.02	295	200
L24A	113095	77710	68.71	77548	76347	67.51	72950	64.5	295	200
L24B	86161	59884	69.5	59747	58862	68.32	56314	65.36	295	200
L6A	104665	68277	65.23	68145	66672	63.7	59264	56.62	295	200
