sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
E10A	82525	80005	96.95	79523	74927	90.79
E10B	54096	52033	96.19	51577	49007	90.59
E10C	82857	79766	96.27	78969	75132	90.68
E11A	65080	62582	96.16	60174	57997	89.12
E11B	78346	75549	96.43	74779	68829	87.85
E11C	83836	80795	96.37	79482	74591	88.97
E12A	61846	59921	96.89	59706	55458	89.67
E12B	92585	89691	96.87	89319	82358	88.95
E12C	136116	131977	96.96	131532	119796	88.01
E14A	117758	113932	96.75	113105	106395	90.35
E14B	77358	74997	96.95	74578	70148	90.68
E14D	71371	68914	96.56	67822	65199	91.35
E15A	47498	45310	95.39	44436	42780	90.07
E15C	77412	74223	95.88	73455	63779	82.39
E15D	80545	77282	95.95	75784	65391	81.19
E17A	60529	57937	95.72	56427	53456	88.31
E17B	33488	32119	95.91	31227	29989	89.55
E17C	42712	40986	95.96	39594	37582	87.99
E17D	14921	14246	95.48	13732	13313	89.22
E19A	54355	52383	96.37	51681	49140	90.41
E19B	83010	79961	96.33	78860	74031	89.18
E19C	93183	89667	96.23	87768	82731	88.78
E19D	38968	37220	95.51	36635	34718	89.09
E20A	78160	75347	96.4	74675	70811	90.6
E20B	97817	94533	96.64	93735	88215	90.18
E20C	127312	123225	96.79	122785	115972	91.09
E22A	91992	88645	96.36	88173	82732	89.93
E22B	132891	128660	96.82	128125	119248	89.73
E22D	71623	69038	96.39	68474	63637	88.85
E23B	74673	71690	96.01	71165	67373	90.22
E23C	86000	83240	96.79	82847	77989	90.68
E23D	142047	137467	96.78	136810	128773	90.66
E24A	117029	112355	96.01	110957	103620	88.54
E24B	61317	58316	95.11	57494	52242	85.2
E24C	79408	76738	96.64	76001	70573	88.87
E6A	114595	110847	96.73	109769	103392	90.22
E6B	62760	60731	96.77	59848	56676	90.31
E6D	43513	41435	95.22	40860	36700	84.34
L10A	71308	68970	96.72	68680	62683	87.9
L10B	88960	85870	96.53	85645	76903	86.45
L10C	134465	129885	96.59	129496	114333	85.03
L10D	83758	80991	96.7	80672	72040	86.01
L11A	78411	75332	96.07	74600	70132	89.44
L11B	126160	121932	96.65	121382	105900	83.94
L11C	126448	122314	96.73	121891	109871	86.89
L11D	95062	91964	96.74	90961	84174	88.55
L12A	132639	127911	96.44	127561	113619	85.66
L12B	103243	99925	96.79	99464	92878	89.96
L12C	118560	114630	96.69	114202	106636	89.94
L12D	78873	75908	96.24	75548	71678	90.88
L14A	108769	105212	96.73	104755	98522	90.58
L14B	78680	75908	96.48	75511	70357	89.42
L14C	103538	99959	96.54	99542	93485	90.29
L14D	83366	80663	96.76	80309	76015	91.18
L15A	91681	88325	96.34	87872	83761	91.36
L15B	91075	87370	95.93	86877	79506	87.3
L15C	132972	128509	96.64	128140	121623	91.47
L17A	101119	97671	96.59	97139	88801	87.82
L17B	99599	96090	96.48	95672	85272	85.62
L17C	90123	87171	96.72	86819	80730	89.58
L17D	107078	103629	96.78	103281	96124	89.77
L19A	117882	113632	96.39	113169	100562	85.31
L19B	82528	79824	96.72	79552	71672	86.85
L19C	91248	87976	96.41	87737	80118	87.8
L19D	108922	105293	96.67	105034	94373	86.64
L20A	86346	83433	96.63	83146	78252	90.63
L20B	110311	106701	96.73	106435	99091	89.83
L20CD	84329	81227	96.32	80850	76115	90.26
L22A	117960	114206	96.82	113832	106491	90.28
L22B	65173	62798	96.36	62380	58737	90.12
L22C	78714	75405	95.8	74614	68806	87.41
L22D	86530	83687	96.71	83119	78108	90.27
L23A	110570	107229	96.98	106964	100056	90.49
L23D	90736	87623	96.57	87378	81989	90.36
L24A	104621	101385	96.91	101169	95193	90.99
L24B	79532	76918	96.71	76698	72221	90.81
L6A	95343	91969	96.46	91663	81413	85.39
L6B	76800	74199	96.61	73866	65618	85.44
L6C	110548	106769	96.58	106412	98678	89.26
L6D	80627	77532	96.16	77166	73144	90.72
