Sample	Original	Clean	Singletons_1	Singletons_2	Merged	Unmerged
E22C	69985	68732 (0.98)	1080 (0.02)	112 (0.00)	58110 (0.85)	10622 (0.15)
E23A	29766	29233 (0.98)	452 (0.02)	58 (0.00)	24624 (0.84)	4609 (0.16)
E25A	67860	66759 (0.98)	895 (0.01)	124 (0.00)	56178 (0.84)	10581 (0.16)
E25B	31661	31141 (0.98)	427 (0.01)	53 (0.00)	25275 (0.81)	5866 (0.19)
E25C	56201	55272 (0.98)	779 (0.01)	98 (0.00)	47581 (0.86)	7691 (0.14)
E25D	124678	122362 (0.98)	1995 (0.02)	194 (0.00)	102676 (0.84)	19686 (0.16)
E26A	115813	113943 (0.98)	1573 (0.01)	185 (0.00)	96180 (0.84)	17763 (0.16)
E26B	197564	193983 (0.98)	3042 (0.02)	346 (0.00)	164433 (0.85)	29550 (0.15)
E26C	94704	92713 (0.98)	1733 (0.02)	157 (0.00)	77604 (0.84)	15109 (0.16)
E26D	150557	148019 (0.98)	2122 (0.01)	279 (0.00)	124962 (0.84)	23057 (0.16)
E27A	15386	15048 (0.98)	299 (0.02)	22 (0.00)	6337 (0.42)	8711 (0.58)
E27B	34395	33246 (0.97)	902 (0.03)	96 (0.00)	18846 (0.57)	14400 (0.43)
E27C	40370	39555 (0.98)	659 (0.02)	94 (0.00)	25221 (0.64)	14334 (0.36)
E28A	80112	78918 (0.99)	975 (0.01)	148 (0.00)	65555 (0.83)	13363 (0.17)
E28B	52595	51742 (0.98)	683 (0.01)	115 (0.00)	41077 (0.79)	10665 (0.21)
E28C	102117	100429 (0.98)	1418 (0.01)	184 (0.00)	83600 (0.83)	16829 (0.17)
E28D	18727	18338 (0.98)	345 (0.02)	22 (0.00)	9228 (0.50)	9110 (0.50)
E29A	60682	59431 (0.98)	1057 (0.02)	114 (0.00)	42899 (0.72)	16532 (0.28)
E29B	72606	71504 (0.98)	935 (0.01)	110 (0.00)	61147 (0.86)	10357 (0.14)
E29C	166008	163245 (0.98)	2350 (0.01)	265 (0.00)	138479 (0.85)	24766 (0.15)
E29D	99589	97539 (0.98)	1766 (0.02)	151 (0.00)	78016 (0.80)	19523 (0.20)
E30A	100809	99029 (0.98)	1480 (0.01)	214 (0.00)	83790 (0.85)	15239 (0.15)
E30B	116790	114837 (0.98)	1638 (0.01)	221 (0.00)	94442 (0.82)	20395 (0.18)
E30C	101000	99206 (0.98)	1515 (0.01)	172 (0.00)	82334 (0.83)	16872 (0.17)
E30D	191652	188662 (0.98)	2547 (0.01)	285 (0.00)	160576 (0.85)	28086 (0.15)
E31A	81604	80358 (0.98)	1079 (0.01)	104 (0.00)	68138 (0.85)	12220 (0.15)
E31B	69707	68502 (0.98)	1034 (0.01)	103 (0.00)	56423 (0.82)	12079 (0.18)
E31C	47198	46407 (0.98)	687 (0.01)	70 (0.00)	39209 (0.84)	7198 (0.16)
E31D	131	112 (0.85)	18 (0.14)	0 (0.00)	82 (0.73)	30 (0.27)
E33A	48615	47581 (0.98)	922 (0.02)	61 (0.00)	36722 (0.77)	10859 (0.23)
E33B	38228	37396 (0.98)	692 (0.02)	82 (0.00)	21646 (0.58)	15750 (0.42)
E33C	26958	26338 (0.98)	521 (0.02)	56 (0.00)	16314 (0.62)	10024 (0.38)
E33D	86803	85136 (0.98)	1437 (0.02)	139 (0.00)	68962 (0.81)	16174 (0.19)
E35A	20463	19765 (0.97)	590 (0.03)	48 (0.00)	9468 (0.48)	10297 (0.52)
E35B	19208	18633 (0.97)	481 (0.03)	41 (0.00)	8887 (0.48)	9746 (0.52)
E35C	28504	27607 (0.97)	741 (0.03)	69 (0.00)	13773 (0.50)	13834 (0.50)
E35D	30005	29019 (0.97)	768 (0.03)	111 (0.00)	14916 (0.51)	14103 (0.49)
E36A	46645	45794 (0.98)	731 (0.02)	76 (0.00)	38235 (0.83)	7559 (0.17)
E36B	61835	60715 (0.98)	931 (0.02)	123 (0.00)	49976 (0.82)	10739 (0.18)
E36C	5171	5043 (0.98)	115 (0.02)	5 (0.00)	4059 (0.80)	984 (0.20)
E36D	65031	63891 (0.98)	969 (0.01)	109 (0.00)	52713 (0.83)	11178 (0.17)
E38A	53654	52425 (0.98)	1053 (0.02)	98 (0.00)	41577 (0.79)	10848 (0.21)
E38B	12963	12665 (0.98)	266 (0.02)	17 (0.00)	8882 (0.70)	3783 (0.30)
E38C	49948	48965 (0.98)	850 (0.02)	79 (0.00)	40460 (0.83)	8505 (0.17)
E38D	53624	52278 (0.97)	1163 (0.02)	100 (0.00)	40588 (0.78)	11690 (0.22)
E39A	108486	106363 (0.98)	1850 (0.02)	177 (0.00)	90383 (0.85)	15980 (0.15)
E39B	69826	68673 (0.98)	913 (0.01)	203 (0.00)	57180 (0.83)	11493 (0.17)
E39C	198261	194518 (0.98)	3284 (0.02)	292 (0.00)	166373 (0.86)	28145 (0.14)
E39D	67048	66125 (0.99)	798 (0.01)	87 (0.00)	57783 (0.87)	8342 (0.13)
L23B	52787	52030 (0.99)	657 (0.01)	69 (0.00)	45152 (0.87)	6878 (0.13)
L24C	58976	57971 (0.98)	888 (0.02)	78 (0.00)	49238 (0.85)	8733 (0.15)
L25A	53858	53063 (0.99)	690 (0.01)	82 (0.00)	46194 (0.87)	6869 (0.13)
L25B	60364	59420 (0.98)	845 (0.01)	73 (0.00)	51517 (0.87)	7903 (0.13)
L25C	58489	57437 (0.98)	949 (0.02)	60 (0.00)	49019 (0.85)	8418 (0.15)
L25D	56578	55798 (0.99)	696 (0.01)	52 (0.00)	48724 (0.87)	7074 (0.13)
L26A	52282	51472 (0.98)	722 (0.01)	65 (0.00)	44454 (0.86)	7018 (0.14)
L26B	55514	54559 (0.98)	850 (0.02)	72 (0.00)	46261 (0.85)	8298 (0.15)
L26C	56057	55101 (0.98)	834 (0.01)	83 (0.00)	47689 (0.87)	7412 (0.13)
L26D	63193	62192 (0.98)	898 (0.01)	75 (0.00)	53817 (0.87)	8375 (0.13)
L27A	60367	59257 (0.98)	989 (0.02)	88 (0.00)	50159 (0.85)	9098 (0.15)
L27B	63823	62431 (0.98)	1209 (0.02)	120 (0.00)	52164 (0.84)	10267 (0.16)
L27C	47238	46167 (0.98)	950 (0.02)	82 (0.00)	38587 (0.84)	7580 (0.16)
L28A	55670	54411 (0.98)	1056 (0.02)	142 (0.00)	45629 (0.84)	8782 (0.16)
L28B	49836	48796 (0.98)	877 (0.02)	132 (0.00)	41219 (0.84)	7577 (0.16)
L28C	42178	41373 (0.98)	666 (0.02)	105 (0.00)	35414 (0.86)	5959 (0.14)
L28D	58243	56855 (0.98)	1211 (0.02)	124 (0.00)	47406 (0.83)	9449 (0.17)
L29A	47021	46117 (0.98)	786 (0.02)	91 (0.00)	39372 (0.85)	6745 (0.15)
L29B	54159	52897 (0.98)	1125 (0.02)	96 (0.00)	44623 (0.84)	8274 (0.16)
L29C	842019	824230 (0.98)	15279 (0.02)	1726 (0.00)	690036 (0.84)	134194 (0.16)
L29D	1048436	1027404 (0.98)	18014 (0.02)	2139 (0.00)	871576 (0.85)	155828 (0.15)
L30A	38891	38015 (0.98)	749 (0.02)	92 (0.00)	31761 (0.84)	6254 (0.16)
L30B	53576	52358 (0.98)	1053 (0.02)	119 (0.00)	44023 (0.84)	8335 (0.16)
L30C	72292	71071 (0.98)	1024 (0.01)	125 (0.00)	59403 (0.84)	11668 (0.16)
L30D	60649	59673 (0.98)	790 (0.01)	140 (0.00)	49740 (0.83)	9933 (0.17)
L31A	121534	119396 (0.98)	1755 (0.01)	272 (0.00)	98201 (0.82)	21195 (0.18)
L31B	65294	64276 (0.98)	846 (0.01)	115 (0.00)	54374 (0.85)	9902 (0.15)
L31C	84711	83390 (0.98)	1125 (0.01)	138 (0.00)	71387 (0.86)	12003 (0.14)
L31D	118141	115838 (0.98)	2001 (0.02)	193 (0.00)	95180 (0.82)	20658 (0.18)
L33A	85628	84310 (0.98)	1087 (0.01)	136 (0.00)	72590 (0.86)	11720 (0.14)
L33B	97125	95362 (0.98)	1507 (0.02)	172 (0.00)	80914 (0.85)	14448 (0.15)
L33C	116490	114244 (0.98)	1965 (0.02)	165 (0.00)	95692 (0.84)	18552 (0.16)
L33D	100391	98513 (0.98)	1590 (0.02)	197 (0.00)	84071 (0.85)	14442 (0.15)
L35B	93804	92301 (0.98)	1252 (0.01)	169 (0.00)	78224 (0.85)	14077 (0.15)
L35C	769	691 (0.90)	71 (0.09)	4 (0.01)	492 (0.71)	199 (0.29)
L35D	136051	133338 (0.98)	2275 (0.02)	282 (0.00)	110399 (0.83)	22939 (0.17)
L36A	77761	75840 (0.98)	1582 (0.02)	234 (0.00)	56880 (0.75)	18960 (0.25)
L36B	131826	129259 (0.98)	2154 (0.02)	262 (0.00)	108070 (0.84)	21189 (0.16)
L36C	75867	74451 (0.98)	1133 (0.01)	193 (0.00)	61348 (0.82)	13103 (0.18)
L36D	71822	70543 (0.98)	1056 (0.01)	134 (0.00)	59271 (0.84)	11272 (0.16)
L38A	143411	140132 (0.98)	2825 (0.02)	253 (0.00)	115985 (0.83)	24147 (0.17)
L38B	101349	99482 (0.98)	1568 (0.02)	180 (0.00)	79911 (0.80)	19571 (0.20)
L38C	106660	104480 (0.98)	1860 (0.02)	196 (0.00)	86416 (0.83)	18064 (0.17)
L38D	158911	155222 (0.98)	3202 (0.02)	288 (0.00)	126481 (0.81)	28741 (0.19)
L39A	32107	31236 (0.97)	761 (0.02)	67 (0.00)	24145 (0.77)	7091 (0.23)
L39B	80078	78411 (0.98)	1423 (0.02)	142 (0.00)	65727 (0.84)	12684 (0.16)
L39C	148294	145369 (0.98)	2483 (0.02)	262 (0.00)	122368 (0.84)	23001 (0.16)
L39D	88781	87647 (0.99)	950 (0.01)	135 (0.00)	75941 (0.87)	11706 (0.13)
Control	5489	5420 (0.99)	59 (0.01)	5 (0.00)	2402 (0.44)	3018 (0.56)
NegPCR	5519	5432 (0.98)	70 (0.01)	12 (0.00)	2297 (0.42)	3135 (0.58)
