,age,isoline,replicate,seqrun,simpson,shannon,LactoAcetoRatio,RotAxis1,RotAxis2,OriAxis1,OriAxis2
E10A.fastq.gz,Early,10,A,1,0.977022039260249,4.027900074508,1.31948751105071e-05,-0.187865100821462,-0.1320179384268,-0.226177669741275,-0.0395688499141327
E10B.fastq.gz,Early,10,B,1,0.989677699611324,4.8729860067993,0,-0.187089019861851,-0.0634412882825139,-0.196305456007773,0.0221645291714775
E10C.fastq.gz,Early,10,C,1,0.981843823497872,4.39838529621045,9.05974904495146e-05,-0.220002882587071,-0.159342697467073,-0.266886014611558,-0.0506282410069991
E11A.fastq.gz,Early,11,A,1,0.984929132215238,4.52205249952181,0,-0.323632433704327,-0.134951657181682,-0.350298213877122,0.015526212544137
E11B.fastq.gz,Early,11,B,1,0.987430500768354,4.70104799545524,0.00236075390580016,-0.0834084632000615,-0.189239206477662,-0.155981640689013,-0.135787248185
E11C.fastq.gz,Early,11,C,1,0.987607716272722,4.70737171016415,0.00474781920605912,-0.291507063991833,-0.199409698923619,-0.34864193896591,-0.0564747268788198
E12A.fastq.gz,Early,12,A,1,0.981797216819935,4.29653195950293,5.7374541003672e-05,-0.00629641191883014,0.092886460988276,0.0338118888975225,0.086742697716636
E12B.fastq.gz,Early,12,B,1,0.981089013374463,4.2478940787574,0,0.0361060227556498,0.144622489018527,0.0941935931426582,0.115528681374024
E12C.fastq.gz,Early,12,C,1,0.983468522665156,4.33202243871544,0,-0.023962195532922,0.0966759922866841,0.0194358553692692,0.0976866512141646
E14A.fastq.gz,Early,14,A,1,0.981434740407487,4.32533355237516,1.05430737277146e-05,-0.315908970713698,-0.222538303311732,-0.380564252442117,-0.0670270391814042
E14B.fastq.gz,Early,14,B,1,0.978590330725193,4.1139293367351,4.29307384087006e-05,-0.112832525311489,-0.0772064654223982,-0.134956739868917,-0.0218791095600622
E14D.fastq.gz,Early,14,D,1,0.976600370594415,4.10245743588554,5.26555972899919e-05,-0.2579293420632,-0.157743846456785,-0.300530270272768,-0.0330488009149269
E15A.fastq.gz,Early,15,A,1,0.990486967149292,5.04595486477436,0.139155146669236,-0.147379815819382,-0.264412697191636,-0.245853112737021,-0.176610111558281
E15C.fastq.gz,Early,15,C,1,0.992848123771013,5.24666868267673,0.0850340136054422,-0.13271425273462,-0.208625738504606,-0.208850826211462,-0.132359752327853
E15D.fastq.gz,Early,15,D,1,0.990373498124984,4.99538213460154,0.0336686738140696,-0.182208772032104,-0.233537355474084,-0.264240973071357,-0.133852310990802
E17A.fastq.gz,Early,17,A,1,0.990177288826184,4.98690484826994,0.000152160681679854,-0.332315390588045,-0.186936825485495,-0.380268966101729,-0.027828204473181
E17B.fastq.gz,Early,17,B,1,0.985093335505335,4.52715805095995,0.0016819488904563,-0.239796008075682,-0.18917394362885,-0.297488315180156,-0.0692069994176578
E17C.fastq.gz,Early,17,C,1,0.990131953157132,4.96012394594825,6.78978815860945e-05,-0.304788302117963,-0.157343843728229,-0.342768594145126,-0.0127548083050318
E17D.fastq.gz,Early,17,D,1,0.981275367371281,4.4187555043088,0.00224719101123595,-0.287598869318773,-0.209759734770957,-0.349507433200965,-0.0675041487754021
E19A.fastq.gz,Early,19,A,1,0.981966447022495,4.32433682816371,0,-0.316327504038144,-0.156091728849841,-0.352679244370307,-0.00671328658136788
E19B.fastq.gz,Early,19,B,1,0.984742866970259,4.47387746209575,4.0987806127677e-05,-0.291219492272662,-0.150010154276069,-0.327369033126117,-0.011889289951385
E19C.fastq.gz,Early,19,C,1,0.983770009955202,4.40358121078759,1.8737118231216e-05,-0.31490625603366,-0.174381721997606,-0.359172833572862,-0.0238707075560945
E19D.fastq.gz,Early,19,D,1,0.987163629793296,4.6462447219321,0,-0.324053886222445,-0.145416175778444,-0.355130837953193,0.00623484471015239
