PC3	Age	Acetobacter	Acinetobacter	Akkermansia	Altererythrobacter	Ameyamaea	Anaerobacillus	Bacillus	Brucella	Carnobacterium	Corynebacterium_1	Curvibacter	Cutibacterium	Enhydrobacter	Escherichia/Shigella	Gemella	Klebsiella	Lactobacillus	Lawsonella	Mangrovibacter	Massilia	Methylobacterium	Micrococcus	Paracoccus	Proteus	Pseudomonas	Ralstonia	Serratia	Sphingobium	Staphylococcus	Stenotrophomonas	Streptococcus	Wolbachia
low	Early	0.986477164759934	0	0	0	3.90457225410956e-05	0	6.50762042351594e-05	0	0.000195228612705478	0.000143167649317351	0	9.11066859292231e-05	0	2.60304816940637e-05	6.50762042351594e-05	0	0	5.20609633881275e-05	7.80914450821912e-05	0	1.30152408470319e-05	0	0	0	0.00190022516366665	0.00908463811122825	0.000338396262022829	0	9.11066859292231e-05	5.20609633881275e-05	2.60304816940637e-05	0
low	Early	0.595302957071928	0	0	0	0	0	0.00101058921745244	0	0.00120831319478009	0	0	0.00109846654070917	0	0.00138406784129355	0	0	0	0	0	0	0.000944681225009886	0	0	0	0.0206731402961466	0.363065161035195	0.00173557713432049	0	0	2.19693308141834e-05	0	0
low	Early	0.930330229095557	7.02316238956077e-05	0	0	1.40463247791215e-05	0	0	0	0	0.000154509572570337	0	0.000168555897349458	1.40463247791215e-05	0.000449482392931889	0	0	8.42779486747292e-05	0	0.000238787521245066	0	0	0	9.83242734538508e-05	8.42779486747293e-05	0.00554829828775301	0.0578146727908643	0.00126416923012094	0	8.42779486747293e-05	0	0.000603991965502226	0
high	Early	0.657338001245731	0.00244850619643893	0	0	0.00010739062265083	0	0	0	0	0.00199746558130544	2.1478124530166e-05	0.00167529371335295	0.000150346871711162	0.000837646856676475	0	0	0	0.00204042183036577	0.00378014991730922	0	0	0.0010739062265083	0	0	0.0200390901866449	0.273867565884147	0.00356536867200756	0	0.00369423741918856	0	0	0
high	Early	0.840497427377861	0	0.000451620187422378	0	4.83878772238262e-05	0	0.000290327263342957	0	0.000306456555750899	0	1.61292924079421e-05	0.000145163631671479	0	9.67757544476524e-05	0	0	0.00138711914708302	0	1.61292924079421e-05	0.00038710301779061	0	6.45171696317683e-05	1.61292924079421e-05	0	0.0128711753415378	0.134953789577251	0.00227423022951983	0	0	0	1.61292924079421e-05	0
high	Early	0.841857367144013	0.000222021345766529	0.00256910414386983	0	4.75760026642562e-05	0.000111010672883264	0.000412325356423553	0	0.000348890686204545	7.92933377737602e-05	0	0.000872226715511363	0	0.00201405077945351	0	6.34346702190082e-05	0.00374264554292148	0.000269597348430785	0.000840509380401859	0	0	0.000222021345766529	0	0	0.00984823255150102	0.120256276067685	0.00168101876080372	0.00141142141237293	0.000111010672883264	0.000222021345766529	0.000523336029306818	0
low	Early	0.994656677251897	0	0	0	0	0	0	0	7.60615337808287e-05	0	0	1.90153834452072e-05	0	0	0	0	5.70461503356215e-05	0	0	0	0	1.90153834452072e-05	0	0	0.000494399969575387	0.00425944589172641	0	0	0	0	0	0
low	Early	0.989815106960308	0	0	0	1.2620685303212e-05	0	0	0	0	0	0	0	1.2620685303212e-05	0	0	0	0	0	1.2620685303212e-05	0	0	0	2.52413706064239e-05	0	0.000328137817883511	0.00167855114532719	5.04827412128479e-05	1.2620685303212e-05	1.2620685303212e-05	0	1.2620685303212e-05	0
low	Early	0.991288379077636	9.046335329558e-06	0	0	0	0	0	0	9.046335329558e-06	9.046335329558e-06	0	9.046335329558e-06	0	9.046335329558e-06	0	0	0	0	5.4278011977348e-05	0	9.046335329558e-06	0	0	0	0.00022615838323895	0.00172785004794558	9.9509688625138e-05	0	3.6185341318232e-05	0	9.046335329558e-06	0
high	Early	0.936105546729295	0	0	0	6.90750846169787e-05	0	2.96036076929909e-05	0	0.000148018038464954	0.000167753776926948	6.90750846169787e-05	0.000315771815391902	0.000236828861543927	9.86786923099695e-05	0	0	0	9.86786923099695e-06	0.000187489515388942	9.86786923099695e-06	8.88108230789726e-05	0	0	1.97357384619939e-05	0.00575296776167122	0.0489150277780519	0.00121374791541262	0	0	0.000414450507701872	0	0
